id_norma,tipo_norma,organismo_origen,fecha_sancion,texto_original
384953,Resolución,SECRETARIA DE TRABAJO,2023-04-21,http://servicios.infoleg.gob.ar/infolegInternet/anexos/380000-384999/384953/norma.htm
384950,Resolución,SECRETARIA DE TRABAJO,2023-04-21,http://servicios.infoleg.gob.ar/infolegInternet/anexos/380000-384999/384950/norma.htm
385358,Resolución,SECRETARIA DE TRABAJO,2023-04-21,http://servicios.infoleg.gob.ar/infolegInternet/anexos/385000-389999/385358/norma.htm
384816,Resolución,SECRETARIA DE TRABAJO,2023-04-21,http://servicios.infoleg.gob.ar/infolegInternet/anexos/380000-384999/384816/norma.htm
385360,Resolución,SECRETARIA DE TRABAJO,2023-04-21,http://servicios.infoleg.gob.ar/infolegInternet/anexos/385000-389999/385360/norma.htm
384955,Resolución,SECRETARIA DE TRABAJO,2023-04-20,http://servicios.infoleg.gob.ar/infolegInternet/anexos/380000-384999/384955/norma.htm
384999,Resolución,SECRETARIA DE TRABAJO,2023-04-20,http://servicios.infoleg.gob.ar/infolegInternet/anexos/380000-384999/384999/norma.htm
385109,Resolución,SECRETARIA DE TRABAJO,2023-04-20,http://servicios.infoleg.gob.ar/infolegInternet/anexos/385000-389999/385109/norma.htm
384967,Resolución,SECRETARIA DE TRABAJO,2023-04-19,http://servicios.infoleg.gob.ar/infolegInternet/anexos/380000-384999/384967/norma.htm
384966,Resolución,SECRETARIA DE TRABAJO,2023-04-19,http://servicios.infoleg.gob.ar/infolegInternet/anexos/380000-384999/384966/norma.htm
385118,Resolución,SECRETARIA DE TRABAJO,2023-04-19,http://servicios.infoleg.gob.ar/infolegInternet/anexos/385000-389999/385118/norma.htm
384971,Resolución,SECRETARIA DE TRABAJO,2023-04-19,http://servicios.infoleg.gob.ar/infolegInternet/anexos/380000-384999/384971/norma.htm
384970,Resolución,SECRETARIA DE TRABAJO,2023-04-19,http://servicios.infoleg.gob.ar/infolegInternet/anexos/380000-384999/384970/norma.htm
384968,Resolución,SECRETARIA DE TRABAJO,2023-04-19,http://servicios.infoleg.gob.ar/infolegInternet/anexos/380000-384999/384968/norma.htm
384965,Resolución,SECRETARIA DE TRABAJO,2023-04-19,http://servicios.infoleg.gob.ar/infolegInternet/anexos/380000-384999/384965/norma.htm
384973,Resolución,SECRETARIA DE TRABAJO,2023-04-19,http://servicios.infoleg.gob.ar/infolegInternet/anexos/380000-384999/384973/norma.htm
384874,Resolución,SECRETARIA DE TRABAJO,2023-04-18,http://servicios.infoleg.gob.ar/infolegInternet/anexos/380000-384999/384874/norma.htm
384878,Resolución,SECRETARIA DE TRABAJO,2023-04-18,http://servicios.infoleg.gob.ar/infolegInternet/anexos/380000-384999/384878/norma.htm
384956,Resolución,SECRETARIA DE TRABAJO,2023-04-18,http://servicios.infoleg.gob.ar/infolegInternet/anexos/380000-384999/384956/norma.htm
384957,Resolución,SECRETARIA DE TRABAJO,2023-04-18,http://servicios.infoleg.gob.ar/infolegInternet/anexos/380000-384999/384957/norma.htm
384883,Resolución,SECRETARIA DE TRABAJO,2023-04-18,http://servicios.infoleg.gob.ar/infolegInternet/anexos/380000-384999/384883/norma.htm
384959,Resolución,SECRETARIA DE TRABAJO,2023-04-18,http://servicios.infoleg.gob.ar/infolegInternet/anexos/380000-384999/384959/norma.htm
384960,Resolución,SECRETARIA DE TRABAJO,2023-04-18,http://servicios.infoleg.gob.ar/infolegInternet/anexos/380000-384999/384960/norma.htm
384884,Resolución,SECRETARIA DE TRABAJO,2023-04-18,http://servicios.infoleg.gob.ar/infolegInternet/anexos/380000-384999/384884/norma.htm
384875,Resolución,SECRETARIA DE TRABAJO,2023-04-18,http://servicios.infoleg.gob.ar/infolegInternet/anexos/380000-384999/384875/norma.htm
384961,Resolución,SECRETARIA DE TRABAJO,2023-04-18,http://servicios.infoleg.gob.ar/infolegInternet/anexos/380000-384999/384961/norma.htm
384879,Resolución,SECRETARIA DE TRABAJO,2023-04-18,http://servicios.infoleg.gob.ar/infolegInternet/anexos/380000-384999/384879/norma.htm
384882,Resolución,SECRETARIA DE TRABAJO,2023-04-18,http://servicios.infoleg.gob.ar/infolegInternet/anexos/380000-384999/384882/norma.htm
384814,Resolución,SECRETARIA DE TRABAJO,2023-04-18,http://servicios.infoleg.gob.ar/infolegInternet/anexos/380000-384999/384814/norma.htm
384958,Resolución,SECRETARIA DE TRABAJO,2023-04-18,http://servicios.infoleg.gob.ar/infolegInternet/anexos/380000-384999/384958/norma.htm
384881,Resolución,SECRETARIA DE TRABAJO,2023-04-18,http://servicios.infoleg.gob.ar/infolegInternet/anexos/380000-384999/384881/norma.htm
384877,Resolución,SECRETARIA DE TRABAJO,2023-04-14,http://servicios.infoleg.gob.ar/infolegInternet/anexos/380000-384999/384877/norma.htm
384876,Resolución,SECRETARIA DE TRABAJO,2023-04-14,http://servicios.infoleg.gob.ar/infolegInternet/anexos/380000-384999/384876/norma.htm
384794,Resolución,SECRETARIA DE TRABAJO,2023-04-13,http://servicios.infoleg.gob.ar/infolegInternet/anexos/380000-384999/384794/norma.htm
384430,Resolución,SECRETARIA DE TRABAJO,2023-04-13,http://servicios.infoleg.gob.ar/infolegInternet/anexos/380000-384999/384430/norma.htm
